loan_amnt,int_rate,loan_status,model_scored
35000.0,20.3,0,0.738611234976256
18500.0,10.65,1,0.7599977036761116
12000.0,13.49,1,0.7977263353684255
28000.0,14.27,1,0.854430182709128
16000.0,10.65,1,0.8990486148558832
21250.0,12.42,0,0.8146242205456193
25000.0,18.25,1,0.7626466581399882
12000.0,18.25,1,0.675386195196233
5000.0,6.62,1,0.9681783091791658
16000.0,9.91,1,0.9186567734407811
12000.0,14.65,0,0.810648963054562
8000.0,20.3,0,0.6208100036067904
20000.0,21.28,1,0.7975391816702266
10000.0,16.29,1,0.8633337299410648
24000.0,17.58,0,0.7580052271384059
8000.0,6.03,1,0.942775642979038
22500.0,16.77,1,0.6608178968363048
12000.0,17.27,1,0.836498701994417
15900.0,9.91,1,0.9323993868726006
16000.0,6.62,1,0.992810896908347
5000.0,11.71,1,0.8421623844430886
28000.0,12.42,0,0.8506949948631023
10000.0,7.9,1,0.9309939976247014
8000.0,11.71,1,0.9141299387233754
16000.0,18.25,0,0.711566190616496
10000.0,12.69,0,0.8364308266895758
2400.0,12.69,1,0.8616285899496247
3000.0,16.29,0,0.8300206231120417
9400.0,9.91,1,0.914195637700598
30000.0,19.03,1,0.539356686649263
10000.0,10.65,1,0.8539524737897689
5000.0,12.69,1,0.8307838715225804
22250.0,12.69,0,0.8431513734426765
18000.0,16.77,1,0.8147950207661021
6000.0,12.42,1,0.855239794478502
15000.0,6.03,1,0.972991468200517
27050.0,18.64,1,0.781087872487253
22500.0,17.27,1,0.7361896238347377
10000.0,15.96,1,0.757052960074142
14575.0,10.65,1,0.8202221289536649
13000.0,13.49,1,0.9056179474668025
3500.0,12.69,1,0.8944780944353519
12000.0,11.71,1,0.8682026413856813
3600.0,13.49,1,0.8494485735707825
25000.0,8.9,1,0.9531302067365848
10000.0,16.29,1,0.7973022380021141
35000.0,12.42,1,0.897922272456519
5000.0,9.91,1,0.9517969933890658
12000.0,12.69,1,0.8672116457615646
8250.0,19.91,0,0.5688750007957954
3050.0,9.91,1,0.7931453454224773
9000.0,14.65,1,0.8036820030091253
8500.0,16.29,1,0.809108602207938
35000.0,11.71,1,0.9114879778458166
21000.0,14.27,1,0.9081310303312053
28625.0,20.3,1,0.6723700466363624
4000.0,14.27,1,0.7874281214212798
18000.0,8.9,1,0.9628822454616175
5000.0,8.9,1,0.9443019968708064
6000.0,14.27,0,0.8235284103643564
8400.0,17.27,1,0.7771585755738946
24925.0,23.91,1,0.5928547920698648
5000.0,9.91,1,0.9416127993939724
13200.0,11.71,0,0.8588293305467483
10000.0,6.62,1,0.9464868527621086
17500.0,12.42,1,0.9140509335536748
6500.0,10.65,1,0.896369846512712
4400.0,19.03,1,0.7144158826307927
35000.0,20.3,1,0.7996829035822225
13600.0,12.69,1,0.8614090508381762
35000.0,14.27,1,0.8912782104885532
12000.0,11.71,1,0.9054589741436544
15000.0,16.77,1,0.777399355682181
7200.0,7.9,1,0.9310945268860836
16000.0,9.91,1,0.9429583513240036
7125.0,7.51,0,0.917873120077129
14000.0,18.25,1,0.7356420965003008
8000.0,14.65,1,0.7364143050203575
10000.0,16.77,1,0.7453238850508869
7000.0,15.96,1,0.8386578143673241
5000.0,7.51,1,0.9481840480008377
5000.0,10.65,1,0.8518733976095548
13000.0,16.29,1,0.7104420628920775
15000.0,15.96,0,0.7623242288224112
15000.0,7.9,1,0.929055340345364
5000.0,21.28,1,0.6567761817943443
16000.0,19.91,1,0.8341991782924957
21000.0,14.65,1,0.7655431855886923
6000.0,14.65,1,0.789399284273103
7150.0,12.69,1,0.8513971555616647
13000.0,19.42,0,0.6545833689991978
8000.0,15.27,0,0.8658673972341225
7000.0,8.9,1,0.9680454631116373
12000.0,6.62,1,0.9816887052753336
8000.0,11.71,1,0.9188997215823239
2250.0,13.49,1,0.7397519472699556
35000.0,19.91,1,0.7153973255837935
7000.0,7.9,1,0.9358891734442741
13200.0,16.77,1,0.8516117967088987
4800.0,8.9,1,0.9065737217803772
15000.0,9.91,1,0.8818481660359466
15000.0,12.42,1,0.8913961624535282
2400.0,14.27,1,0.8128281081332889
5900.0,12.42,1,0.7592350747712538
18000.0,7.9,1,0.9806346645889593
7000.0,11.71,1,0.7980068595832829
10000.0,6.03,1,0.9729603158878981
23000.0,9.91,1,0.952112252911763
25000.0,14.65,1,0.7572330660781086
2200.0,9.91,0,0.9039232390598877
16000.0,7.9,1,0.9800188193214422
5000.0,12.42,1,0.8553592203247129
30000.0,21.67,1,0.6923845521036661
10400.0,22.35,0,0.6524646517052028
20000.0,11.71,1,0.7993137570137848
17200.0,17.27,0,0.7641532520868464
15000.0,8.9,1,0.953137071846985
10625.0,11.71,0,0.8280725284960472
16000.0,15.96,1,0.6696797210194654
18000.0,16.77,1,0.6121427150412946
15000.0,14.27,1,0.8087297192325796
16400.0,17.27,0,0.750466778255292
10075.0,12.42,1,0.8415606486540579
14000.0,12.42,1,0.9244785961534162
13000.0,9.91,0,0.924753668363963
5000.0,16.77,0,0.7916132087007749
30000.0,20.3,0,0.8045525943795863
18225.0,12.42,1,0.8044646942263834
